ID;tag_title;category_ID;tenant
8a10bf63-9249-4191-b3c4-18eea321935b;Test;1680f2a2-6d3d-4840-8d25-bf2d2a877b06;d439e362-ecdf-4d78-8fed-86c7c639b131
96f585ca-2599-4d6f-8295-6d186bfd1265;VNA;1680f2a2-6d3d-4840-8d25-bf2d2a877b06;d439e362-ecdf-4d78-8fed-86c7c639b131
3b0ffa17-7973-4da5-9285-4c656ea85778;VNA;3aa60225-40bf-422f-a670-32cf68507234;d439e362-ecdf-4d78-8fed-86c7c639b131
18ef5fe6-4e5a-49c2-b1a4-26587ef96a03;00000;22974ac8-a454-437e-9526-f0fc1e978349;b42b7346-80a2-4fd1-b40b-068028b96de0
84118ee8-eeb3-4514-a31b-ecb3903d6b7e;10000;dffb1b8f-7e5a-450d-9763-c327ba3db46e;b42b7346-80a2-4fd1-b40b-068028b96de0
2f8078ae-e016-48e3-9a88-d7647593d62f;20000;474d3645-9804-4bbd-a588-d005d32e3fd8;b42b7346-80a2-4fd1-b40b-068028b96de0
2228fd41-22f1-4e30-8743-4df3ce28b928;30000;f7776ad1-90ea-4300-97c8-c1cf8e9baa3d;b42b7346-80a2-4fd1-b40b-068028b96de0
2a0b0146-fae0-4e1a-8d75-19db1af42789;31000;a562e840-0f3d-4335-8766-2f3c6a488eac;b42b7346-80a2-4fd1-b40b-068028b96de0
c9e8281d-c9ec-4fc9-864e-abd0c6d84596;32000;0944cc7f-fcf0-4bf0-9ba0-a593210e0513;b42b7346-80a2-4fd1-b40b-068028b96de0
d69f8bd9-954d-4ec4-b25d-241fa42621d1;33000;92f5c666-f370-4a60-8fa0-2ed3c642bab5;b42b7346-80a2-4fd1-b40b-068028b96de0
e6f0e2ac-78ea-4aef-9207-b2044411c9c5;51401;8b533181-ad4e-43b4-a4c3-44a786492c2d;b42b7346-80a2-4fd1-b40b-068028b96de0
d0c9c862-0049-4fa1-a1ac-13e95d490de8;51402;022c671d-713a-4387-9fb6-12498912d7b8;b42b7346-80a2-4fd1-b40b-068028b96de0
5abf9bbf-b334-4f37-a8e1-820830403763;51404;73d84a9b-d76f-42c8-af30-8c3a787eb82e;b42b7346-80a2-4fd1-b40b-068028b96de0
fa3a32f6-5133-4874-9c09-271de9c514c3;51407;3ce1c6b6-b88d-4f09-b25d-50526a5a29ec;b42b7346-80a2-4fd1-b40b-068028b96de0
